PROJECT;TASK;START;END;HOURS
Project1;Task1;29/09/14 18:20;29/09/14 18:28;0,13
Project1;Task1;29/09/14 12:17;29/09/14 13:05;0,79
Project1;Task1;29/09/14 11:56;29/09/14 12:02;0,10
Project1;Task1;29/09/14 09:55;29/09/14 11:56;2,02
Project1;Task1;26/09/14 16:34;26/09/14 18:29;1,92
Project1;Task1;26/09/14 14:02;26/09/14 15:50;1,80
Project1;Task1;26/09/14 09:36;26/09/14 13:04;3,47
Project1;Task1;25/09/14 17:55;25/09/14 18:14;0,33
Project1;Task1;25/09/14 14:35;25/09/14 17:01;2,42
Project1;Task1;25/09/14 10:29;25/09/14 13:29;3,00
Project1;Task1;24/09/14 12:27;24/09/14 13:06;0,65
Project1;Task1;23/09/14 16:39;23/09/14 16:54;0,24
Project1;Task1;17/09/14 15:09;17/09/14 15:26;0,28
Project1;Task1;17/09/14 09:21;17/09/14 10:56;1,58
Project1;Task1;15/09/14 15:26;15/09/14 15:48;0,37
Project1;Task1;15/09/14 14:13;15/09/14 15:26;1,23
Project1;Task1;15/09/14 12:26;15/09/14 13:07;0,68
Project1;Task1;12/09/14 09:55;12/09/14 11:03;1,12
Project1;Task1;11/09/14 16:47;11/09/14 17:47;1,01
Project1;Task1;10/09/14 14:09;10/09/14 14:20;0,18
Project1;Task1;09/09/14 16:56;09/09/14 17:00;0,06
Project1;Task1;09/09/14 16:22;09/09/14 16:56;0,56
Project1;Task1;09/09/14 14:36;09/09/14 16:16;1,66
Project1;Task1;09/09/14 12:27;09/09/14 13:26;0,99
Project1;Task1;09/09/14 11:47;09/09/14 12:14;0,46
Project1;Task1;09/09/14 10:41;09/09/14 11:08;0,45
Project1;Task1;08/09/14 17:33;08/09/14 18:11;0,63
Project1;Task1;05/09/14 16:51;05/09/14 17:35;0,73
Project1;Task1;05/09/14 14:07;05/09/14 16:16;2,14
Project1;Task1;05/09/14 11:57;05/09/14 13:10;1,21
Project1;Task1;04/09/14 11:20;04/09/14 12:35;1,24
Project1;Task1;04/09/14 09:49;04/09/14 11:13;1,39
Project1;Task1;03/09/14 14:09;03/09/14 16:07;1,98
Project1;Task1;03/09/14 11:22;03/09/14 13:05;1,72
Project1;Task1;03/09/14 10:04;03/09/14 11:07;1,04
Project1;Task1;03/09/14 09:12;03/09/14 10:04;0,87
Project1;Task1;02/09/14 16:56;02/09/14 17:41;0,74
Project1;Task1;02/09/14 16:07;02/09/14 16:56;0,82
Project1;Task1;02/09/14 14:20;02/09/14 15:58;1,63
Project1;Task1;02/09/14 10:03;02/09/14 13:17;3,22
Project1;Task1;01/09/14 16:32;01/09/14 16:33;0,00
Project1;Task1;01/09/14 15:22;01/09/14 16:16;0,90
Project1;Task1;01/09/14 14:31;01/09/14 15:16;0,76
Project1;Task1;01/09/14 14:02;01/09/14 14:30;0,48
Project1;Task1;01/09/14 11:51;01/09/14 13:05;1,24
Project1;Task1;01/09/14 10:46;01/09/14 11:51;1,08
Project1;Task2;30/09/14 14:30;30/09/14 18:13;3,73
Project1;Task2;30/09/14 14:03;30/09/14 14:30;0,44
Project1;Task2;30/09/14 12:08;30/09/14 13:02;0,89
Project1;Task2;29/09/14 16:29;29/09/14 17:48;1,32
Project1;Task2;29/09/14 14:13;29/09/14 16:02;1,82
Project1;Task2;24/09/14 16:58;24/09/14 18:06;1,14
Project1;Task2;24/09/14 14:27;24/09/14 16:29;2,03
Project1;Task2;24/09/14 09:22;24/09/14 11:30;2,13
Project1;Task2;23/09/14 14:56;23/09/14 16:23;1,45
Project1;Task2;23/09/14 14:03;23/09/14 14:56;0,87
